# V4.1 prompt-batch flow model: every constant ds41_prefill.py reads, one per row.
# kind: measured (a recorded run), derived (arithmetic on recorded numbers or code), assumed (no record; in the uncalibrated table).
# anchor: the backtest row a value was taken from; that row is not scored against it.
name	value	lo	hi	unit	kind	conditions	source	anchor	note
sd_same_binary	0.6	0.6	0.6	%	measured	A6000, same binary, 18 runs	AGENTS.md 'Know the ruler'; docs/plan.md:78		per-run SD of one arm
between_lease	4.3	1.6	4.3	%	measured	same bench binary in two leases, 2026-09-25	rig-log log/2026-09-25.md#h1fold-union ('4.3 %·1.6 % 빨랐다')		tolerance of a prediction built on another lease's constants (the larger move)
window_move	5	5	5	%	measured	same commit, CPU decode, different windows	AGENTS.md ('the same commit moves ~5 % between windows')		quoted beside between_lease; not used as a tolerance
n_sm	84	84	84	SM	measured	A6000 sm_86	docs/research/q3gemmlat-design-report.md:186		
f_sm	2.03	1.93	2.13	GHz	derived	A6000 SM clock while the prompt batch runs (afe86d5 sitting)	ncu at 1.40 GHz fixed / nsys duration ratios 1.38-1.52 (q_b 1.45) x 1.40, rig-log log/2026-09-26.md#v41-prefill-nsys		not measured: the witness line prints clocks.max.sm (2100 MHz), not the running clock; qkv's 2.15 ratio (flushed caches) excluded
bw_card	674	600	701	GB/s	measured	A6000, large launches	docs/plan.md:72 (567-701; engram_wkv 674)		
pcie_pinned	26.28	26.28	26.28	GB/s	measured	A6000 H2D, cuMemAllocHost, 1 GiB x 8	rig-log log/2026-09-25.md#m2-h2d-a6000		
pcie_pageable	21.16	21.16	21.16	GB/s	measured	A6000 H2D from the warm read-only mapping	rig-log log/2026-09-25.md#m2-h2d-a6000		
gemv_lat_iter	0.47	0.47	0.47	us	measured	A6000 decode nsys, small grids, m = 1	docs/plan-ledger.md:1161 (T ~ 1.16 + 0.47 iters us)		the m = 1 chain; the model interpolates to each kernel's m = 8 L for a partial chunk
gemv_launch	1.16	1.16	1.16	us	measured	same fit	docs/plan-ledger.md:1161		intercept of the same fit
q3k_bps	6	6	6	blocks/SM	derived	q3k gemv, 40 registers, 256 threads	docs/plan-ledger.md:1161 ('504 blocks = regs 40 -> 6 x 84')		
heads_bps	3	3	3	blocks/SM	derived	ds41_q3k_gemv_heads_mcol, 80 registers	docs/plan-ledger.md:1193 (dskq: 80 regs 3 blk/SM)		
attn_seg_d6	10.9	10.9	10.9	us	measured	A6000 decode, seg_sel at depth 6, 40 blocks, 1 block/SM	docs/plan-ledger.md:1176 (A2)		slope only
attn_seg_d1024	16.2	16.2	16.2	us	measured	same at depth ~1024	docs/plan-ledger.md:1176 (A2)		
attn_other	27.98	27.98	27.98	us/chunk	measured	A6000 300 W, public Q3_K_M, plan (a), hot list 384, lcg P 512, CED on, bloomery afe86d5, nsys device timestamps (running clock ~2.0 GHz [derived]), layer 2: merge 21.21 + kv append 4.75 + commit 2.02	rig-log log/2026-09-26.md#v41-prefill-nsys; nsyspp scratch an-pp512-box.txt		
small_chunk	64.61	64.61	64.61	us/full chunk	measured	A6000 300 W, public Q3_K_M, plan (a), hot list 384, lcg P 512, CED on, bloomery afe86d5, nsys device timestamps (running clock ~2.0 GHz [derived]): hc_pre, norm_quant, quantize, rows_to_tokens, rope, hc_post; 3.883 ms a layer-batch over 60.1 full chunks	rig-log log/2026-09-26.md#v41-prefill-nsys; nsyspp scratch an-pp512-box.txt		hc_pre (28.4 us) runs on the fork branch: fork_overlap hides it
route_nq	6.14	5.95	6.14	us/chunk	measured	A6000 300 W, public Q3_K_M, plan (a), hot list 384, lcg P 512, CED on, bloomery afe86d5, nsys device timestamps (running clock ~2.0 GHz [derived]): the route's norm_quant, 0.369 ms a layer-batch / 60.1	rig-log log/2026-09-26.md#v41-prefill-nsys; nsyspp scratch an-pp512-box.txt		
src_chunk	41.7	41.7	41.7	us/chunk	measured	A6000 300 W, public Q3_K_M, plan (a), hot list 384, lcg P 512, CED on, bloomery afe86d5, nsys device timestamps (running clock ~2.0 GHz [derived]), layer 2 (gated compressor): 2 q3k_gemv 33.81 + comp_pool 5.30 + index_key 2.59	rig-log log/2026-09-26.md#v41-prefill-nsys; nsyspp scratch an-pp512-box.txt		an ungated source (20) runs one gemv of the two: src_chunk - 16.9
idx_chunk	6.36	6.36	6.36	us/chunk	measured	A6000 300 W, public Q3_K_M, plan (a), hot list 384, lcg P 512, CED on, bloomery afe86d5, nsys device timestamps (running clock ~2.0 GHz [derived]), layer 2: indexer_score 4.51 + top-k 1.85 (its P 512 scan included)	rig-log log/2026-09-26.md#v41-prefill-nsys; nsyspp scratch an-pp512-box.txt		idx_row_ns adds rows past layer 2's P 512 mean
idx_row_ns	2.9	0.36	2.9	ns/row/query	derived	index-key scan, 4,096 rows = 6.8 MB at 575 GB/s	docs/research/v41-b4-plan-report.md:158-160		lo = the chunk's 8 queries share one scan
small_k	2.2	1.45	3.7	us	measured	one small launch (quantize, transpose, copy)	docs/plan.md:73 (K=512 q3_K 1.45); docs/plan-ledger.md:1177 (D7 2.15, 2.24)		
small_bytes_tok	780000	600000	1000000	B/token	assumed	bytes a token's attention small kernels move when launched batch-wide (B1)	derived here from the tensor widths (norm 5120, q_b 32768, heads, 4 streams); cardroute-design-report.md:215		only the B1 step reads it
